,greedy,greedy_bestsum,greedy_bestpair,greedy_tryall,uniform_grasp,linear_HBSS_grasp,exponential_HBSS_grasp,uniform_RCL_grasp,linear_RCL_grasp,exponential_RCL_grasp,ant_system
08matrizn200m80.dat,16046,16111,16046,16161,14388,14982,16078,15991,15951,16058,14749
27matrizn700m60.dat,98667,98544,98583,98667,50437,52491,98140,94777,94734,98136,98667
04matrizn100m40.dat,4055,4107,4055,4112,3544,3751,4089,4019,4037,4084,3687
14matrizn400m80.dat,16653,16679,16653,16824,14387,15012,16667,16624,16577,16682,14773
35matrizn900m120.dat,163467,163424,163009,163467,85010,87803,161978,158426,158588,162026,163467
37matrizn1000m50.dat,21977,21923,21834,21977,11502,11979,21977,20371,20346,21977,21977
32matrizn800m120.dat,229338,229226,229330,229338,118320,124468,225317,223465,223418,225287,229338
28matrizn700m80.dat,175388,175248,175340,175388,91084,95951,174698,170031,170156,174728,175388
02matrizn100m20.dat,1137,1164,1137,1177,879,971,1149,1109,1111,1143,977
22matrizn600m20.dat,32567,32430,32484,32567,16822,17170,32285,30428,30467,32259,32567
33matrizn900m40.dat,17979,17962,17792,17979,9608,9562,17979,16528,16524,17979,17979
36matrizn900m160.dat,289755,289748,289729,289755,149850,157984,286897,282987,283024,286903,289755
30matrizn800m60.dat,56852,56851,56830,56852,29356,29524,55656,54011,54035,55658,56852
34matrizn900m80.dat,72227,72225,72182,72227,37264,38010,72227,69055,69008,72227,72227
18matrizn500m100.dat,25605,25713,25605,26062,22463,23417,25673,25676,25634,25717,23130
21matrizn600m10.dat,7969,7958,7864,7969,4226,4185,7839,7065,6994,7837,7969
24matrizn600m40.dat,129047,129019,129004,129047,65736,70119,128427,124530,124675,128428,129047
17matrizn500m50.dat,6917,6879,6917,7074,5577,5924,6965,6878,6889,6965,5851
25matrizn700m20.dat,10765,10681,10506,10765,5696,5839,10595,9698,9672,10604,10765
06matrizn200m40.dat,4333,4376,4333,4432,3556,3820,4337,4320,4306,4353,3779
12matrizn300m120.dat,35592,35421,35592,35745,32479,33451,35622,35501,35412,35648,32901
07matrizn200m60.dat,9263,9374,9263,9398,8031,8393,9314,9248,9213,9285,8291
26matrizn700m40.dat,43823,43778,43716,43823,22875,23383,43475,41393,41316,43483,43823
15matrizn400m120.dat,35937,35861,35937,36106,32421,33454,35958,35815,35823,35959,32958
31matrizn800m90.dat,128749,128739,128736,128749,65619,68870,126448,124342,124249,126458,128749
10matrizn300m60.dat,9449,9523,9449,9591,8069,8477,9476,9427,9410,9501,8341
23matrizn600m30.dat,72799,72787,72648,72799,37503,38928,72315,69429,69401,72339,72799
39matrizn1000m150.dat,202228,202226,201889,202228,104513,107375,202189,196453,196469,202186,202228
13matrizn400m40.dat,4531,4502,4531,4601,3550,3846,4511,4461,4465,4515,3785
11matrizn300m90.dat,20542,20524,20542,20633,18146,18851,20551,20395,20426,20544,18687
03matrizn100m30.dat,2343,2374,2343,2457,1965,2094,2361,2342,2325,2362,2093
09matrizn300m30.dat,2628,2616,2628,2676,2005,2176,2618,2559,2563,2607,2174
20matrizn500m200.dat,96543,96499,96543,97034,89845,92153,96692,96452,96525,96717,90670
01matrizn100m10.dat,306,322,306,333,210,236,311,289,294,309,252
29matrizn800m30.dat,14434,14327,14416,14434,7468,7453,14434,13086,13066,14434,14434
19matrizn500m150.dat,55936,55534,55936,56308,50530,52209,55978,55827,55776,55901,51409
16matrizn400m160.dat,62091,61931,62091,62217,57584,59072,62054,61982,61994,62063,58182
40matrizn1000m200.dat,359737,359691,359502,359737,184559,196259,358143,352000,352009,358143,359737
05matrizn200m20.dat,1177,1190,1177,1243,889,972,1192,1162,1162,1195,999
38matrizn1000m100.dat,89241,89063,89036,89241,46746,47004,89241,85726,85556,89241,89241
